Player,Salary,Points,Rebounds,Assists
Enes Kanter,18622514,14.4,11,2
Eric Bledsoe,15000000,15.7,4.4,5.6
Eric Gordon,13500375,16.2,2.5,2.2
Ersan Ilyasova,7000000,7.2,5,1
E'Twaun Moore,8808685,12.8,2.5,2.1
Evan Fournier,17000000,14.8,3.1,3.6
Evan Turner,17868852,8,4.8,4
Festus Ezeli,333333,0,0,0
Frank Jackson,1378242,4.8,1,0.7
Frank Kaminsky,3627842,5.6,2.5,1.1
Frank Mason,1378242,4.9,1.2,2.6
Frank Ntilikina,4155720,6,1.9,2.6
Fred VanVleet,8653847,10.2,2.6,4.5
Furkan Korkmaz,1740000,6,2.5,1.2
Garlon Green,50000,0,0,0
Garrett Temple,8000000,9.7,3,1.3
Gary Harris,16517857,15.5,3.1,2.7
Gary Trent,838464,2,0.6,0.1
George Hill,19000000,7.8,2.3,2.5
Georges Niang,1512601,3.1,1.1,0.5
Georgios Papagiannis,2000400,0,0,0
Gerald Green,2393887,9.2,2.8,0.5
Giannis Antetokounmpo,24157304,26.4,12.5,6
Glenn Robinson,4075000,4.4,1.4,0.5
Goran Dragic,18109175,15.3,3.1,4.9
Gordon Hayward,31214295,11,4.7,3.6
Gorgui Dieng,15170787,5.4,4,0.8
Grayson Allen,2074320,4.6,0.3,0.7
Greg Monroe,2165481,5.2,4.3,0.4
Guerschon Yabusele,2667600,1.9,1,0.4
Hamidou Diallo,838464,4.4,2.2,0.4
Harrison Barnes,24107258,18.1,4.2,1.1
Harry Giles,2207040,5.6,3.4,1.5
Hassan Whiteside,25434263,12.5,12.3,0.8
Henry Ellenson,1857480,6,4.5,0.5
Ian Clark,1757429,3.7,1.4,1.3
Ian Mahinmi,15944154,4.2,3.6,0.8
Ike Anigbogu,1378242,0,1,0.3
Iman Shumpert,11011234,9.1,3,2
Isaac Bonga,1000000,1,0.7,0.7
Isaiah Briscoe,838464,2.9,1.1,1.5
Isaiah Cousins,838464,0,0,0
Isaiah Hartenstein,838464,2,1.7,0.5
Isaiah Thomas,2029463,0,0,0
Ish Smith,6000000,8.7,1.8,2.8
Ivan Rabb,1378242,3.4,2.8,0.6
Ivica Zubac,1544951,7.6,4.5,0.7
J.J. Barea,3710850,10.9,2.5,5.6
J.J. Redick,12250000,18.5,2.2,2.8
J.R. Smith,14720000,6.7,1.6,1.9
Jabari Bird,1349383,0,0,0
Jabari Parker,20000000,14.7,6.5,2.2
Jacob Evans,1644240,0.6,0.4,0.6
Jae Crowder,7305825,12,4.7,1.7
Jahlil Okafor,1567007,4.4,2.9,0.4
Jake Layman,1544951,6.6,2.5,0.5
Jakob Poeltl,2947320,5.4,5,1.3
Jalen Brunson,1230000,6.5,1.7,2.1
Jamal Crawford,2393887,6.6,1.2,3.2
Jamal Murray,3499800,18.8,4.5,4.9
James Ennis,1621415,7.3,2.6,0.6
James Harden,30431854,35.7,6.4,8.5
James Johnson,14651700,8,3.3,2.3
James Nunnally,655632,2.4,0.3,0.5
JaMychal Green,7866667,10.6,6.7,0.9
Jared Dudley,9530000,5,2.8,1.5
Jarell Martin,2416222,2.6,1.7,0.5
Jaren Jackson,5915040,13.5,4.8,1.2
Jarred Vanderbilt,838464,0,0,0
Jarrett Allen,2034120,11.8,8.7,1.4
Jason Smith,5450000,3.2,2.7,0.7
Jason Thompson,945126,0,0,0
JaVale McGee,2393887,10.9,6.9,0.8
Jawun Evans,1378242,1,2.5,2
Jaylen Brown,5169960,12.2,4.2,1.4
Jayson Tatum,6700800,16.3,6.3,1.8
Jeff Green,2393887,11.4,4.7,1.7
Jeff Teague,19000000,11.5,2.4,8.1
Jerami Grant,8653847,12.8,5,0.9
Jeremy Lamb,7488372,15.1,5.6,2
Jeremy Lin,13768421,10.7,2.4,3.6
Jerian Grant,2639314,4.1,1.7,2.9
Jerome Robinson,3046200,2.7,0.3,0.2
Jerryd Bayless,8575916,2.6,0.9,1.4
Jevon Carter,838464,3.5,1.2,1.9
Jimmy Butler,20445779,19.6,4.9,3.7
Joakim Noah,18530000,3.8,3.9,1.2
Joe Harris,8333333,13.4,3.7,2.5
Joe Ingles,13045455,11.7,3.9,4.9
